epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,3701.58,0.45119,0.42003,0.98937,0.63941,0.50434,0.53329,0.4122,1.28648,1.96191,1.80924,0.000302581,0.000302581,0.000302581
149,3726.01,0.42222,0.40177,0.97463,0.567,0.49808,0.55174,0.41447,1.30622,1.89266,1.84109,0.000297081,0.000297081,0.000297081
150,3750.51,0.43585,0.41706,0.98606,0.74312,0.46219,0.57555,0.43441,1.24575,1.83704,1.79273,0.000291582,0.000291582,0.000291582
151,3774.97,0.44154,0.40351,0.97653,0.65229,0.47556,0.53482,0.39858,1.25227,1.97128,1.76737,0.000286083,0.000286083,0.000286083
152,3799.55,0.42351,0.39656,0.96329,0.6423,0.46725,0.53655,0.40928,1.31582,2.02224,1.81895,0.000280583,0.000280583,0.000280583
153,3823.99,0.41351,0.38841,0.96734,0.70052,0.45261,0.53582,0.41295,1.27203,1.99414,1.77172,0.000275084,0.000275084,0.000275084
154,3848.46,0.42046,0.38429,0.96321,0.69369,0.43137,0.52029,0.38702,1.3069,2.11788,1.81267,0.000269584,0.000269584,0.000269584
155,3873.03,0.42299,0.39845,0.9703,0.53488,0.54107,0.54455,0.42067,1.31636,1.96246,1.87695,0.000264085,0.000264085,0.000264085
156,3897.5,0.4135,0.38402,0.96737,0.67831,0.47695,0.55493,0.41749,1.30185,2.13166,1.80422,0.000258585,0.000258585,0.000258585
157,3921.93,0.41247,0.38749,0.96722,0.63595,0.52696,0.57533,0.41896,1.28091,2.00779,1.80229,0.000253086,0.000253086,0.000253086
158,3946.43,0.39975,0.36551,0.96234,0.71543,0.44884,0.56311,0.42558,1.24566,1.95894,1.76612,0.000247586,0.000247586,0.000247586
159,3970.88,0.40401,0.38217,0.96228,0.72278,0.4526,0.55078,0.42592,1.255,1.93437,1.80159,0.000242087,0.000242087,0.000242087
160,3995.38,0.4116,0.37938,0.97262,0.70308,0.45231,0.53475,0.4145,1.2296,1.96888,1.73873,0.000236587,0.000236587,0.000236587
161,4020.01,0.39724,0.37426,0.96783,0.67456,0.48923,0.547,0.41731,1.24879,1.96571,1.78784,0.000231088,0.000231088,0.000231088
162,4044.54,0.39511,0.36277,0.95605,0.56408,0.51038,0.54182,0.41026,1.26381,2.06009,1.79652,0.000225589,0.000225589,0.000225589
163,4069.08,0.39416,0.36918,0.9623,0.67001,0.47154,0.53562,0.405,1.2637,2.05216,1.76073,0.000220089,0.000220089,0.000220089
164,4093.49,0.38889,0.36552,0.95831,0.61484,0.47342,0.55129,0.43583,1.21647,2.01246,1.74658,0.00021459,0.00021459,0.00021459
165,4117.92,0.39218,0.34841,0.95429,0.59731,0.50178,0.55058,0.42125,1.23613,1.95051,1.78219,0.00020909,0.00020909,0.00020909
166,4142.27,0.37861,0.34659,0.95433,0.53745,0.51909,0.53116,0.40652,1.22082,2.01543,1.73828,0.000203591,0.000203591,0.000203591
167,4166.71,0.38852,0.35547,0.95159,0.56479,0.49579,0.55692,0.42528,1.21485,1.95423,1.75,0.000198091,0.000198091,0.000198091
168,4191.02,0.37948,0.35484,0.96006,0.62996,0.51812,0.57189,0.43254,1.2707,1.95848,1.83234,0.000192592,0.000192592,0.000192592
169,4215.39,0.38178,0.34396,0.95387,0.62821,0.52402,0.56053,0.43027,1.26423,2.01125,1.80116,0.000187092,0.000187092,0.000187092
170,4239.71,0.38682,0.35105,0.95574,0.61329,0.46679,0.50827,0.40331,1.28871,2.20635,1.77733,0.000181593,0.000181593,0.000181593
171,4264.04,0.36816,0.34852,0.94638,0.57114,0.49589,0.53551,0.42307,1.22428,2.07137,1.76143,0.000176094,0.000176094,0.000176094
172,4288.45,0.37821,0.35046,0.9478,0.67606,0.43798,0.52763,0.41116,1.23337,2.07458,1.77111,0.000170594,0.000170594,0.000170594
173,4312.84,0.36524,0.33417,0.94768,0.6741,0.45921,0.54786,0.42305,1.24318,2.04207,1.79085,0.000165095,0.000165095,0.000165095
174,4337.18,0.36365,0.33836,0.94628,0.60237,0.48629,0.53376,0.41314,1.25878,2.12414,1.78079,0.000159595,0.000159595,0.000159595
175,4361.6,0.36122,0.32594,0.93918,0.71414,0.45663,0.53398,0.4222,1.23429,2.09147,1.75941,0.000154096,0.000154096,0.000154096
176,4386.01,0.36641,0.34346,0.94509,0.66558,0.43816,0.53058,0.41993,1.26817,2.08363,1.78284,0.000148596,0.000148596,0.000148596
177,4410.46,0.36091,0.33308,0.94156,0.72938,0.42443,0.53776,0.42453,1.2613,2.04145,1.79529,0.000143097,0.000143097,0.000143097
178,4434.83,0.35297,0.33069,0.93568,0.5445,0.51468,0.5288,0.41965,1.25624,2.06454,1.79009,0.000137597,0.000137597,0.000137597
179,4459.28,0.36974,0.34412,0.95798,0.65222,0.45861,0.53471,0.42534,1.24931,2.09027,1.7791,0.000132098,0.000132098,0.000132098
180,4483.92,0.34346,0.31594,0.94326,0.56703,0.53693,0.53716,0.42562,1.23526,2.13803,1.77432,0.000126598,0.000126598,0.000126598
