epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,1414.57,0.52166,0.44436,0.99462,0.74954,0.51767,0.59018,0.45221,1.20245,1.75828,1.65866,0.000357575,0.000357575,0.000357575
139,1424.15,0.49824,0.4353,0.99337,0.66499,0.50877,0.5812,0.44012,1.19898,1.73196,1.64154,0.000352076,0.000352076,0.000352076
140,1433.5,0.50411,0.45154,0.98973,0.685,0.49152,0.55777,0.41411,1.24269,1.79193,1.72917,0.000346576,0.000346576,0.000346576
141,1442.87,0.50704,0.44711,0.99488,0.67342,0.51807,0.57425,0.43299,1.21117,1.78386,1.68673,0.000341077,0.000341077,0.000341077
142,1452.26,0.48472,0.42264,0.98081,0.67874,0.51598,0.56877,0.43079,1.19744,1.75306,1.62895,0.000335578,0.000335578,0.000335578
143,1461.58,0.48699,0.41928,0.97873,0.65982,0.50397,0.55242,0.43268,1.17288,1.78832,1.58502,0.000330078,0.000330078,0.000330078
144,1470.96,0.47834,0.41873,0.9817,0.60492,0.52743,0.57352,0.42896,1.16911,1.87089,1.58804,0.000324579,0.000324579,0.000324579
145,1480.33,0.48275,0.41441,0.98473,0.65058,0.54601,0.58418,0.43282,1.17001,1.69615,1.61994,0.000319079,0.000319079,0.000319079
146,1489.64,0.46898,0.40659,0.97417,0.70892,0.52807,0.58703,0.44464,1.19895,1.66901,1.63791,0.00031358,0.00031358,0.00031358
147,1499.02,0.48921,0.42797,0.9906,0.69498,0.51804,0.58569,0.43017,1.22232,1.79721,1.65617,0.00030808,0.00030808,0.00030808
148,1508.4,0.49818,0.42946,0.98845,0.64438,0.54902,0.57987,0.42797,1.21094,1.70315,1.66242,0.000302581,0.000302581,0.000302581
149,1517.84,0.47431,0.41594,0.97768,0.66485,0.56183,0.57962,0.42742,1.25219,1.78167,1.69546,0.000297081,0.000297081,0.000297081
150,1527.28,0.48768,0.4181,0.99183,0.73512,0.49856,0.57059,0.42964,1.20471,1.83332,1.65582,0.000291582,0.000291582,0.000291582
151,1536.59,0.47341,0.40198,0.97205,0.64529,0.54208,0.55967,0.42159,1.18792,1.85142,1.65067,0.000286083,0.000286083,0.000286083
152,1545.93,0.47417,0.40908,0.96969,0.65283,0.54327,0.56819,0.42031,1.22388,1.92754,1.66162,0.000280583,0.000280583,0.000280583
153,1555.25,0.45888,0.40073,0.97148,0.61117,0.55315,0.54847,0.40909,1.1948,1.83815,1.6769,0.000275084,0.000275084,0.000275084
154,1564.6,0.46851,0.39996,0.9694,0.68299,0.52661,0.56396,0.42819,1.18885,1.86119,1.63268,0.000269584,0.000269584,0.000269584
