epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1332.78,0.55766,0.51524,1.03263,0.61219,0.51382,0.55359,0.4085,1.23971,1.6976,1.68213,0.000572054,0.000572054,0.000572054
100,1345.46,0.55505,0.52167,1.02627,0.66213,0.5105,0.54633,0.40989,1.2846,1.86532,1.72937,0.000566554,0.000566554,0.000566554
101,1358.14,0.54335,0.49367,1.0237,0.65689,0.48017,0.52501,0.39943,1.23969,1.95758,1.68148,0.000561055,0.000561055,0.000561055
102,1370.79,0.53911,0.49614,1.01928,0.58617,0.54023,0.52861,0.39803,1.28708,1.76536,1.77911,0.000555556,0.000555556,0.000555556
103,1383.43,0.53347,0.48204,1.01163,0.58124,0.55229,0.55454,0.41932,1.25303,1.6629,1.673,0.000550056,0.000550056,0.000550056
104,1396.17,0.52937,0.48623,1.01725,0.58258,0.55934,0.5426,0.41614,1.25862,1.73489,1.72786,0.000544557,0.000544557,0.000544557
105,1408.88,0.54154,0.48219,1.02056,0.66453,0.50204,0.50931,0.37994,1.34698,2.04546,1.82273,0.000539057,0.000539057,0.000539057
106,1421.55,0.53415,0.48405,1.016,0.63172,0.55299,0.54308,0.41179,1.28477,1.76838,1.73185,0.000533558,0.000533558,0.000533558
107,1434.28,0.52944,0.47406,1.0225,0.6073,0.53646,0.53814,0.40314,1.27746,1.82863,1.68619,0.000528058,0.000528058,0.000528058
108,1447.25,0.51845,0.46648,1.01223,0.64759,0.50661,0.55761,0.41552,1.24727,1.66596,1.68442,0.000522559,0.000522559,0.000522559
109,1459.96,0.51623,0.45591,1.00896,0.65902,0.59789,0.57369,0.4227,1.26213,1.71747,1.69445,0.000517059,0.000517059,0.000517059
110,1472.69,0.53371,0.47325,1.0205,0.61201,0.50596,0.51386,0.38494,1.30935,1.92026,1.74415,0.00051156,0.00051156,0.00051156
111,1485.42,0.51023,0.46013,0.99859,0.61658,0.49739,0.54596,0.4121,1.28575,1.82939,1.72768,0.00050606,0.00050606,0.00050606
112,1498.1,0.50769,0.45973,1.00486,0.67077,0.48087,0.51905,0.39898,1.27487,1.83745,1.71743,0.000500561,0.000500561,0.000500561
113,1511.33,0.50827,0.4636,1.00308,0.58941,0.52895,0.53517,0.39249,1.36962,1.76167,1.84456,0.000495062,0.000495062,0.000495062
114,1524.01,0.51042,0.45369,1.00569,0.57635,0.50434,0.51027,0.39056,1.28152,1.89279,1.75084,0.000489562,0.000489562,0.000489562
115,1536.7,0.51248,0.45626,0.99401,0.63033,0.50523,0.52669,0.39526,1.30412,1.94762,1.75692,0.000484063,0.000484063,0.000484063
116,1549.47,0.50283,0.43689,1.00981,0.56965,0.54395,0.5618,0.42027,1.30441,1.87964,1.81303,0.000478563,0.000478563,0.000478563
117,1562.2,0.49879,0.44176,0.99375,0.66135,0.49949,0.533,0.4004,1.29001,1.87088,1.77085,0.000473064,0.000473064,0.000473064
118,1574.94,0.49135,0.43869,1.001,0.62001,0.50199,0.56464,0.41553,1.2821,1.77452,1.78655,0.000467564,0.000467564,0.000467564
119,1587.64,0.50035,0.43549,0.99513,0.63749,0.53021,0.54988,0.41367,1.28383,1.74157,1.75224,0.000462065,0.000462065,0.000462065
120,1600.37,0.49472,0.44436,0.99446,0.66494,0.5409,0.57794,0.42922,1.26972,1.79974,1.7144,0.000456565,0.000456565,0.000456565
121,1613.02,0.48996,0.44316,1.00696,0.62302,0.57871,0.57252,0.4315,1.23492,1.71168,1.71318,0.000451066,0.000451066,0.000451066
122,1625.67,0.48781,0.4274,0.99335,0.62379,0.56791,0.56031,0.43323,1.20339,1.64404,1.66837,0.000445567,0.000445567,0.000445567
123,1638.35,0.47092,0.42508,0.99213,0.65139,0.52405,0.53816,0.41763,1.19689,2.00156,1.65227,0.000440067,0.000440067,0.000440067
124,1651.02,0.48387,0.42041,0.98361,0.61475,0.49972,0.51982,0.39065,1.31467,1.86522,1.82256,0.000434568,0.000434568,0.000434568
125,1663.74,0.47609,0.41774,0.98483,0.66485,0.47585,0.51449,0.39955,1.25164,1.84631,1.74898,0.000429068,0.000429068,0.000429068
126,1676.46,0.46797,0.41382,0.98117,0.56758,0.51591,0.53078,0.39965,1.27884,1.91297,1.71518,0.000423569,0.000423569,0.000423569
127,1689.22,0.4711,0.40441,0.97539,0.62802,0.51939,0.55587,0.40444,1.2793,1.8278,1.72512,0.000418069,0.000418069,0.000418069
128,1701.85,0.46407,0.41486,0.97974,0.60905,0.52012,0.53946,0.40514,1.30769,1.92784,1.76209,0.00041257,0.00041257,0.00041257
129,1714.65,0.46584,0.40774,0.9841,0.59143,0.56304,0.56939,0.43343,1.24555,1.75301,1.68954,0.00040707,0.00040707,0.00040707
130,1727.57,0.45992,0.40946,0.98226,0.64261,0.582,0.57544,0.43909,1.18578,1.72272,1.64399,0.000401571,0.000401571,0.000401571
131,1740.46,0.46285,0.38752,0.97321,0.76517,0.43362,0.53483,0.39546,1.25771,1.93575,1.73639,0.000396071,0.000396071,0.000396071
132,1753.19,0.4472,0.39051,0.97758,0.5761,0.52381,0.5431,0.4087,1.25529,1.9454,1.74252,0.000390572,0.000390572,0.000390572
133,1765.93,0.46254,0.39994,0.97506,0.64485,0.51306,0.55719,0.41849,1.26025,1.80416,1.71325,0.000385073,0.000385073,0.000385073
134,1778.64,0.4461,0.38124,0.96877,0.68061,0.4894,0.53791,0.40328,1.24913,1.83735,1.68709,0.000379573,0.000379573,0.000379573
135,1791.34,0.44266,0.38031,0.96038,0.64762,0.56271,0.58073,0.42161,1.32618,1.85035,1.78461,0.000374074,0.000374074,0.000374074
136,1804.01,0.45123,0.39982,0.97396,0.73969,0.45016,0.55857,0.41904,1.26315,1.89382,1.69554,0.000368574,0.000368574,0.000368574
137,1816.68,0.44222,0.38288,0.96408,0.67382,0.53037,0.5812,0.43516,1.28862,1.88865,1.74285,0.000363075,0.000363075,0.000363075
138,1829.35,0.45407,0.38656,0.97123,0.65211,0.52488,0.56023,0.41772,1.28929,1.85952,1.77094,0.000357575,0.000357575,0.000357575
139,1842.01,0.43998,0.38885,0.97306,0.61396,0.5102,0.5206,0.398,1.31815,2.07117,1.76224,0.000352076,0.000352076,0.000352076
140,1854.66,0.44113,0.3945,0.96197,0.60274,0.51245,0.52736,0.3892,1.30494,1.94671,1.76175,0.000346576,0.000346576,0.000346576
141,1867.3,0.43878,0.3821,0.96676,0.67053,0.44756,0.53261,0.39532,1.30084,1.96283,1.7757,0.000341077,0.000341077,0.000341077
142,1880.02,0.42946,0.37725,0.96302,0.69017,0.49709,0.53778,0.41212,1.26541,1.85438,1.76291,0.000335578,0.000335578,0.000335578
143,1892.72,0.42675,0.35805,0.96292,0.62646,0.51969,0.53942,0.41048,1.22699,1.8542,1.7122,0.000330078,0.000330078,0.000330078
144,1905.43,0.42735,0.37568,0.96488,0.7294,0.48638,0.55541,0.4185,1.26022,1.94179,1.73946,0.000324579,0.000324579,0.000324579
145,1918.13,0.42018,0.3685,0.96156,0.6841,0.52161,0.56196,0.41791,1.3037,1.77949,1.83583,0.000319079,0.000319079,0.000319079
146,1930.79,0.41199,0.35439,0.95649,0.66148,0.56083,0.59603,0.45164,1.28927,1.85515,1.8048,0.00031358,0.00031358,0.00031358
147,1943.7,0.41748,0.37179,0.96535,0.69468,0.55185,0.59492,0.45025,1.24686,1.75144,1.73697,0.00030808,0.00030808,0.00030808
148,1956.34,0.42827,0.36722,0.96026,0.67189,0.53976,0.57935,0.43624,1.29196,1.79377,1.78243,0.000302581,0.000302581,0.000302581
149,1968.97,0.4043,0.35673,0.95053,0.71984,0.50195,0.57792,0.42868,1.26548,1.80736,1.72639,0.000297081,0.000297081,0.000297081
150,1981.69,0.42483,0.37032,0.96662,0.60915,0.55829,0.56089,0.42578,1.2849,1.79876,1.77564,0.000291582,0.000291582,0.000291582
151,1994.46,0.41129,0.35586,0.94856,0.64734,0.56194,0.55349,0.42553,1.26137,1.86573,1.74947,0.000286083,0.000286083,0.000286083
152,2007.21,0.40837,0.35767,0.94788,0.67022,0.51468,0.55515,0.42368,1.25001,1.93215,1.72147,0.000280583,0.000280583,0.000280583
153,2019.88,0.40338,0.35537,0.95011,0.65307,0.50829,0.54841,0.4026,1.29827,2.05561,1.77314,0.000275084,0.000275084,0.000275084
154,2032.58,0.40618,0.35216,0.94217,0.5466,0.5065,0.53359,0.41279,1.26104,2.22844,1.70308,0.000269584,0.000269584,0.000269584
155,2045.24,0.41837,0.3576,0.95198,0.53099,0.5197,0.5537,0.43443,1.24139,2.0158,1.7359,0.000264085,0.000264085,0.000264085
156,2057.94,0.39031,0.34092,0.93806,0.65507,0.48281,0.57608,0.44116,1.25679,1.94367,1.74914,0.000258585,0.000258585,0.000258585
157,2070.59,0.40442,0.34462,0.95113,0.62587,0.52295,0.56753,0.438,1.24665,2.00366,1.72786,0.000253086,0.000253086,0.000253086
158,2083.3,0.3902,0.3406,0.94299,0.63529,0.52825,0.58146,0.4426,1.25003,1.8947,1.74112,0.000247586,0.000247586,0.000247586
159,2095.93,0.39143,0.34549,0.94453,0.73097,0.53678,0.57232,0.43838,1.23599,1.89269,1.71263,0.000242087,0.000242087,0.000242087
160,2108.62,0.39443,0.33875,0.95062,0.66912,0.51985,0.56872,0.43327,1.24557,1.94023,1.74997,0.000236587,0.000236587,0.000236587
161,2121.28,0.39126,0.33947,0.95215,0.68819,0.49625,0.56715,0.42698,1.2538,1.92555,1.74725,0.000231088,0.000231088,0.000231088
162,2133.99,0.38224,0.33418,0.93853,0.68899,0.51057,0.57411,0.43932,1.24427,1.95019,1.6982,0.000225589,0.000225589,0.000225589
163,2146.73,0.38484,0.33079,0.9461,0.61661,0.55187,0.57492,0.44161,1.21328,1.94499,1.65863,0.000220089,0.000220089,0.000220089
164,2159.44,0.37211,0.33008,0.93836,0.67501,0.53002,0.59275,0.4572,1.23591,1.91802,1.71735,0.00021459,0.00021459,0.00021459
165,2172.22,0.38399,0.32834,0.93762,0.68592,0.52639,0.59645,0.453,1.27477,1.83785,1.77751,0.00020909,0.00020909,0.00020909
166,2184.98,0.36776,0.31465,0.93663,0.61163,0.54811,0.58943,0.45556,1.23437,1.86758,1.71852,0.000203591,0.000203591,0.000203591
167,2197.69,0.37446,0.32853,0.9331,0.66244,0.502,0.56974,0.44006,1.23953,1.95274,1.73141,0.000198091,0.000198091,0.000198091
